UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;FEX;añoest;Informalidad
14;3;1;5;1;2023;1;1;1;42;1;1;3;6;4;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;5;12;12;12;12;12;6;0;1; ; ;3;0;0;5;3;0;0;1;1;2;88;1;4;2500000;5; ;2500000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;5;9;5;66;66;66;1;1;1;580;10;2
14;3;1;5;1;2023;1;1;2;32;9;1;6;6;4;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;5;12;12;12;12;12;0;0;1; ; ;2;0;0;4;2;0;0;1;1;2;88;2;4;2700000;5; ;2700000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;4;8;5;60;60;60;1;1;1;580;12;2
14;3;1;5;1;2023;1;1;3;27;9;6;2;6;4;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;7;10;10;10;10;10;10;0;1; ; ;5;0;0;4;5;0;0;1;1;2;88;1;4;2500000;5; ;2500000;1;1200000;5;0; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;4;4;7;60;60;60;1;1;1;580;12;2
14;3;1;5;1;2023;1;1;4;29;9;1;5;1; ;6;6;6; ; ;1; ; ;1; ; ; ;1;0;2;0;1;9;5;2;4;2;0;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;9;5; ; ; ;2;2;2;580;10; 
14;3;1;5;1;2023;1;1;5;19;9;1;5;6;4;6;6;6; ; ;6;4; ; ; ; ; ; ; ; ; ;1;9;5;2;5;0;3;0;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;580;10; 
14;20;1;5;2;2023;1;1;1;57;1;1;3;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;12;12;12;12;12;12;0;1; ; ;40;0;0;2;10;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;7;5;72;72;72;1;1;1;431;12;1
14;20;1;5;2;2023;1;1;2;21;3;1;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;10;10;10;10;10;10;0;1; ; ;2;0;0;2;2;0;0;6; ;2;88;1;4;600000;3; ;2400000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;4; ; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;2;7;5;60;60;60;1;1;1;431;12;1
14;23;1;5;1;2023;1;1;1;31;1;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;7;10;10;10;10;10;6;0;1; ; ;2;0;0;5;2;0;0;6; ;2;12;1;4;3500000;5; ;3500000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;5;3;7;56;56;56;1;1;1;526;13;1
14;23;1;5;1;2023;1;1;2;29;2;6;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;7;10;10;10;10;10;0;0;1; ; ;10;0;0;6;10;0;0;1;1;2;18;2;4;5000000;5; ;5000000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;6;3;7;50;50;50;1;1;1;526;13;2
14;24;1;5;2;2023;1;1;1;48;1;1;1;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;3;8;8;8;8;8;0;0;1; ; ;13;0;0;8;13;0;0;1;2;1;30;2;4;3700000;5; ;3700000;1;600000;5;3900000;6;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;8;7;3;40;40;40;1;1;1;596;12;2
